[2026-06-28 14:45:12] [24093.8665] [WARNING] [WebSocket] Connection state | Cause: disconnected | Location: src\app\client.rs:77:59 | Context: {"reason":"Connection lost: Some(Io(Os { code: 10054, kind: ConnectionReset, message: \"Удаленный хост принудительно разорвал существующее подключение.\" })) will retry in 5 seconds","retry_interval":5,"route":"@internal|internal/disconnected","version":"wss://ws.warframe.market/socket"}
[2026-06-28 14:45:17] [24099.4325] [WARNING] [WebSocket] Connection state | Cause: connected | Location: src\app\client.rs:77:59 | Context: {"route":"@internal|internal/connected","status":"connected","version":"wss://ws.warframe.market/socket"}
[2026-06-28 14:46:06] [24148.3150] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 524 <unknown status code>","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:47:12] [24213.7076] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:49:18] [24340.0838] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:50:23] [24405.4472] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:52:30] [24531.8170] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:53:35] [24597.1673] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:55:40] [24722.5137] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 504 Gateway Timeout","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
[2026-06-28 14:57:38] [24839.9986] [WARNING] [WebSocket] Connection state | Cause: reconnecting | Location: src\app\client.rs:77:59 | Context: {"error":"HTTP error: 502 Bad Gateway","retry_interval":5,"route":"@internal|internal/reconnecting","status":"reconnecting","version":"wss://warframe.market/socket?platform=pc"}
